time,tavg
2021-01-01,3.2
2021-01-02,5.9
2021-01-03,3.0
2021-01-04,4.2
2021-01-05,4.0
2021-01-06,3.7
2021-01-07,2.8
2021-01-08,1.0
2021-01-09,0.7
2021-01-10,2.6
2021-01-11,1.1
2021-01-12,3.3
2021-01-13,3.7
2021-01-14,6.0
2021-01-15,5.6
2021-01-16,5.8
2021-01-17,4.4
2021-01-18,4.9
2021-01-19,3.1
2021-01-20,2.0
2021-01-21,1.3
2021-01-22,4.3
2021-01-23,-0.3
2021-01-24,-1.8
2021-01-25,0.3
2021-01-26,1.2
2021-01-27,2.1
2021-01-28,-0.9
2021-01-29,-5.0
2021-01-30,-3.4
2021-01-31,-3.8
2021-02-01,-1.1
2021-02-02,0.2
2021-02-03,0.7
2021-02-04,2.7
2021-02-05,4.7
2021-02-06,3.3
2021-02-07,1.2
2021-02-08,-3.2
2021-02-09,-0.6
2021-02-10,-0.4
2021-02-11,-1.2
2021-02-12,-2.4
2021-02-13,-1.6
2021-02-14,0.7
2021-02-15,1.3
2021-02-16,5.1
2021-02-17,-1.0
2021-02-18,-2.0
2021-02-19,-0.3
2021-02-20,-0.0
2021-02-21,-0.1
2021-02-22,0.9
2021-02-23,3.8
2021-02-24,7.4
2021-02-25,7.4
2021-02-26,4.1
2021-02-27,6.3
2021-02-28,5.3
2021-03-01,5.4
2021-03-02,-0.9
2021-03-03,5.0
2021-03-04,4.2
2021-03-05,0.1
2021-03-06,0.6
2021-03-07,1.7
2021-03-08,2.1
2021-03-09,9.8
2021-03-10,8.2
2021-03-11,12.5
2021-03-12,15.8
2021-03-13,6.2
2021-03-14,7.3
2021-03-15,0.9
2021-03-16,1.1
2021-03-17,4.3
2021-03-18,6.4
2021-03-19,4.2
2021-03-20,6.8
2021-03-21,9.3
2021-03-22,8.7
2021-03-23,10.0
2021-03-24,10.3
2021-03-25,12.0
2021-03-26,16.4
2021-03-27,13.4
2021-03-28,12.1
2021-03-29,10.2
2021-03-30,10.1
2021-03-31,12.8
2021-04-01,8.2
2021-04-02,2.3
2021-04-03,5.9
2021-04-04,10.7
2021-04-05,14.1
2021-04-06,14.4
2021-04-07,14.1
2021-04-08,13.4
2021-04-09,10.1
2021-04-10,12.3
2021-04-11,11.6
2021-04-12,8.2
2021-04-13,11.8
2021-04-14,13.2
2021-04-15,11.1
2021-04-16,8.3
2021-04-17,9.8
2021-04-18,12.4
2021-04-19,13.6
2021-04-20,15.8
2021-04-21,12.8
2021-04-22,6.2
2021-04-23,10.8
2021-04-24,14.4
2021-04-25,12.9
2021-04-26,11.4
2021-04-27,12.1
2021-04-28,16.8
2021-04-29,18.0
2021-04-30,16.8
2021-05-01,12.2
2021-05-02,18.6
2021-05-03,15.5
2021-05-04,14.7
2021-05-05,12.3
2021-05-06,14.4
2021-05-07,13.7
2021-05-08,10.8
2021-05-09,10.9
2021-05-10,11.9
2021-05-11,14.2
2021-05-12,14.3
2021-05-13,16.0
2021-05-14,17.8
2021-05-15,18.6
2021-05-16,18.0
2021-05-17,18.7
2021-05-18,20.8
2021-05-19,23.0
2021-05-20,19.0
2021-05-21,18.9
2021-05-22,23.6
2021-05-23,25.8
2021-05-24,16.8
2021-05-25,17.8
2021-05-26,22.0
2021-05-27,22.9
2021-05-28,15.8
2021-05-29,10.1
2021-05-30,10.1
2021-05-31,14.9
2021-06-01,18.8
2021-06-02,18.8
2021-06-03,18.2
2021-06-04,20.2
2021-06-05,24.6
2021-06-06,27.7
2021-06-07,26.6
2021-06-08,25.1
2021-06-09,25.4
2021-06-10,23.8
2021-06-11,18.7
2021-06-12,18.8
2021-06-13,19.1
2021-06-14,19.8
2021-06-15,22.3
2021-06-16,21.4
2021-06-17,21.4
2021-06-18,22.7
2021-06-19,23.8
2021-06-20,24.4
2021-06-21,25.9
2021-06-22,20.6
2021-06-23,19.4
2021-06-24,20.3
